age,gender,weight,height,bmi,goal,health_condition,activity_level,experience_level,dietary_preference,sleep_hours,workout_type_preference,equipment_available_count,time_available,has_allergy,has_digestive_issue,smoking,cigarettes_per_day,alcohol,alcohol_units_per_week,micronutrient_score,protein_intake_g,steps_per_day,water_intake_liters,workout_plan_level,nutrition_plan_level,predicted_workout_plan_encoded,predicted_workout_plan,predicted_nutrition_plan_encoded,predicted_nutrition_plan
60,male,73.7,1.61,28.43,endurance,hypertension,low,advanced,vegan,5.5,functional,3,98,0,0,0,0,0,0,0.92,182.1,16485,2.49,Medium,None,2,Medium,3,None
17,female,121,1.97,31.18,endurance,heart disease,moderate,beginner,veg,6.9,functional,4,105,0,0,0,0,0,0,0.76,167.7,14256,2.04,None,None,3,None,3,None
43,male,110,1.52,47.61,general fitness,none,low,beginner,non-veg,6,strength,1,88,0,0,0,0,0,0,0.34,104.9,3050,2.53,Low,Low,1,Low,1,Low
49,other,73.6,1.96,19.16,general fitness,none,moderate,beginner,non-veg,5.7,functional,5,96,0,0,0,0,0,0,0.71,59.5,2264,3.36,None,None,3,None,3,None
53,female,80.8,1.76,26.08,endurance,hypertension,high,beginner,pescatarian,5.8,balance,3,120,0,1,1,8.7,0,0,0.98,51.1,12774,1.9,Medium,None,2,Medium,3,None
32,male,134.8,1.61,52,fat loss,none,moderate,advanced,pescatarian,9,flexibility,2,15,0,1,1,6.1,0,0,0.22,152.4,7525,1.34,Medium,Medium,2,Medium,2,Medium
34,female,101.9,2.05,24.25,general fitness,hypertension,high,intermediate,pescatarian,8.3,flexibility,4,23,0,0,0,0,0,0,0.51,205.6,11066,1.52,Low,None,1,Low,3,None
57,female,120.6,1.72,40.77,muscle gain,injury,moderate,intermediate,non-veg,5,functional,1,32,1,0,0,0,1,16.6,0.79,54.9,10772,2.23,Low,High,1,Low,0,High
74,male,86.4,1.85,25.24,fat loss,none,low,beginner,vegan,8.5,functional,5,116,0,0,0,0,1,8.8,0.63,109.8,7243,2.04,None,Medium,3,None,2,Medium
72,female,99.2,1.73,33.15,muscle gain,heart disease,moderate,beginner,veg,7,strength,1,94,1,0,1,1.7,1,13.5,0.21,144.6,8474,4.29,Medium,High,2,Medium,0,High
37,female,69.9,1.52,30.25,endurance,none,low,advanced,non-veg,8.9,flexibility,4,75,0,0,0,0,0,0,0.97,216.3,2632,3.78,Low,None,1,Low,3,None
48,female,90.8,1.7,31.42,general fitness,injury,high,advanced,vegan,6.9,cardio,3,40,1,0,0,0,1,3.7,0.16,144.1,13432,2.29,Medium,Medium,2,Medium,2,Medium
47,female,82.3,1.97,21.21,endurance,none,low,advanced,non-veg,5.8,strength,4,57,0,0,0,0,1,21.2,0.63,114.2,13190,1.44,Low,None,1,Low,3,None
64,male,135.3,1.93,36.32,muscle gain,none,low,intermediate,non-veg,9.3,flexibility,3,32,0,0,0,0,0,0,0.92,96.6,6602,2.12,Low,Medium,1,Low,2,Medium
62,female,108.1,1.51,47.41,general fitness,none,low,beginner,non-veg,8.6,flexibility,2,105,0,0,0,0,0,0,0.66,97.2,6609,4.48,Low,None,1,Low,3,None
24,female,113.1,2.04,27.18,muscle gain,diabetes,low,beginner,vegan,5.2,balance,1,120,0,0,1,5.3,0,0,0.62,137.6,6362,4.17,Low,Low,1,Low,1,Low
47,female,138.3,1.82,41.75,muscle gain,pcos,moderate,beginner,non-veg,9,balance,2,38,0,0,0,0,1,7.4,0.14,186,3566,1.13,Low,High,1,Low,0,High
61,female,86.1,1.93,23.11,endurance,none,low,beginner,non-veg,9.4,strength,2,62,0,0,0,0,0,0,0.23,129.6,5295,4.15,None,None,3,None,3,None
47,female,89.7,1.62,34.18,muscle gain,none,moderate,beginner,vegan,7.6,flexibility,0,72,0,0,1,1.4,0,0,0.95,172.7,8483,1.57,Low,Medium,1,Low,2,Medium
62,female,55,1.65,20.2,general fitness,asthma,high,beginner,pescatarian,6.3,flexibility,6,93,0,0,0,0,1,15.3,0.9,165.5,4685,1.42,Medium,None,2,Medium,3,None
40,male,91.5,1.66,33.21,fat loss,none,moderate,advanced,non-veg,6.2,cardio,3,87,0,0,0,0,0,0,0.16,141.6,15086,1.61,Medium,Medium,2,Medium,2,Medium
34,female,132.5,1.74,43.76,muscle gain,none,high,intermediate,non-veg,6.8,hiit,3,40,0,0,0,0,0,0,0.95,106,10068,1.37,Medium,Medium,2,Medium,2,Medium
29,male,102.9,2.01,25.47,muscle gain,hypertension,low,intermediate,pescatarian,8.8,balance,2,15,0,1,0,0,0,0,0.19,40.1,10436,3.25,None,Medium,3,None,2,Medium
51,male,120.2,1.65,44.15,muscle gain,hypertension,low,advanced,veg,7.8,balance,1,67,0,1,0,0,0,0,0.13,45.4,17525,3.74,Medium,High,2,Medium,0,High
47,female,130,1.58,52.07,muscle gain,hypertension,low,beginner,non-veg,9,hiit,2,31,0,0,0,0,0,0,0.62,73,7024,1.44,Low,Medium,1,Low,2,Medium
31,female,49.3,1.57,20,fat loss,none,moderate,intermediate,veg,6.4,functional,5,26,1,0,0,0,1,10,0.34,160.9,8891,1.47,None,Medium,3,None,2,Medium
19,female,73.7,2.01,18.24,muscle gain,none,high,intermediate,vegan,6.7,cardio,4,89,0,0,0,0,1,10.8,1,213.5,12065,3.96,Medium,Medium,2,Medium,2,Medium
